0111111111110000000000000000000000000000000000000000000000000000  // INF
1111111111110000000000000000000000000000000000000000000000000000  // INF
0111111111110000000000000000000000000000000000000000000000000000  // INF
0100000000001100000000000000000000000000000000000000000000000000  // 3.5
0100000000111000101100110011001100110011001100110011001100110011  // 24.7
0100000100101110100001001000001000000000000000000000000000000000  // 1000001
1100000100101110100001000110110000000000000000000000000000000000  // -999990.0
1011111111100000000000000000000000000000000000000000000000000000  // -0.5
1100000000110001110011001100110011001100110011001100110011001101  // -17.8
0011111111010011011011101001110111010111111011001011101110000000  // 0.3036265
1100000001000110101001100110011001100110011001100110011001100110  // -45.3
0100000010111100111101101110111001010110000001000001100010010011  // 7414.931
0100000010111100111101100010010101101010101111011110001111111100  // 7414.14616
0100000110010001101011011001100101011000000001000001100010010011  // 74147414.004
1100000001001110110000000000000000000000000000000000000000000000  // -61.5
1100000011001011011001011001010010100101011110100111100001101100  // -14027.1613
0100000100100001111011000001011010101100101111111011000101011011  // 587275.3374
1100000011101001000010010110101011001000101101000011100101011000  // -51275.337
0100000000000100000000000000000000000000000000000000000000000000  // 2.5
1100000000101010010010000101011010000001111011001101010010101010  // -13.141285
0011111111110000000000000000000000000000000000000000000000000000  // sin(90) = 1
0011111111101111111111111011000000100101100110011100100111001010  // sin(88.9) = 0.999815712121644
1011111111101110111010001101110101000111010010001011111100010010  // sin(-75) = -0.965925826289068
0011111111101011101101100111101011101000011101011110110100001111  // sin(60) = 0.866025404
0011111111100110101000001001111001100110011001011001100000111110  // sin(45) = 0.707106781
1011111111100000000000000000000000000000000000000000000000000000  // sin(-30) = -0.5
0011111111010000100100000111110111000001100100110000011010010101  // sin(15) = 0.258819045102521
0011111110110110010011111101011010111000110000101000000100000100  // sin(5) = 0.0871557427476582
1011111101011100100110000111000000010000001001011110101100100100  // sin(-0.1) = -0.00174532836589831
0000000000000000000000000000000000000000000000000000000000000000  // sin(0) = 0
0011111111110000000000000000000000000000000000000000000000000000  // cos(0) = 1
0011111111101111111111111011000000100101100110011100100111001010  // cos(1.1) = 0.999815712121644
0011111111101110111010001101110101000111010010001011111100010010  // cos(-15) = 0.965925826289068
0011111111101011101101100111101011101000011101011110110100001111  // cos(30) = 0.866025404
0011111111100110101000001001111001100110011001011001100000111110  // cos(45) = 0.707106781
0011111111100000000000000000000000000000000000000000000000000000  // cos(-60) = 0.5
0011111111010000100100000111110111000001100100110000011010010101  // cos(75) = 0.258819045102521
0011111110110110010011111101011010111000110000101000000100000100  // cos(85) = 0.0871557427476582
0011111101011100100110000111000000010000001001011110101100100100  // cos(-89.9) = 0.00174532836589831
0000000000000000000000000000000000000000000000000000000000000000  // cos(90) = 0
0100000000001000100000000000000000000000000000000000000000000000  // 3.0625
0100000001001000110000000000000000000000000000000000000000000000  // 49.5
1100000000001000000000000000000000000000000000000000000000000000  // -3
1111111111111111111111111111111111111111111111111111111111111111  // NAN
0100000001110110000010100011110101110000101000111101011100001011  // 352.64000000000004
0000000000000000000000000000000000000000000000000000000000000000  // 0
1111111111110000000000000000000000000000000000000000000000000000  // -INF
0111111111110000000000000000000000000000000000000000000000000000  // INF
0100000010110011000010110000000000000000000000000000000000000000  // 4875
1100000001000111011111000110110010000110111111000101111000001001  // -46.97206198999999
0100000001110010110100000000000000000000000000000000000000000000  // 301
1011111101101011001101110100100001001010110110000000011011001110  // -3.3222591362126247E-3
0011111001010101100101111111100011000010001001101111110110110100  // 2.0110644E-8
0000000000000000000000000000000000000000000000000000000000000000  // 0
1111111111111111111111111111111111111111111111111111111111111111  // NaN
0111111111110000000000000000000000000000000000000000000000000000  // INF
1111111111110000000000000000000000000000000000000000000000000000  // -INF
1111111111111111111111111111111111111111111111111111111111111111  // NAN
1111111111111111111111111111111111111111111111111111111111111111  // NAN
1111111111111111111111111111111111111111111111111111111111111111  // NAN
0011111111100110101000001001111001100110011111110011101111001100  // sqaure root 0.5 = 0.7071067811865475
0011111111110110101000001001111001100110011111110011101111001100  // sqaure root 2 = 1.414213562373095
0100000000000110101000001001111001100110011111110011101111001100  // sqaure root 8 = 2.82842712474619
0011111111010110101000001001111001100110011111110011101111001101  // sqaure root 0.125 = 0.3535
0100000000010001111110100100111010111110100011011001011010000001  // sqaure root 20.2 = 4.494441010848846
0100000000011100100010001110111010011100100011100010011100000011  // sqaure root 50.89 = 7.133722730804723
0100000000111000000110001111011001101110011100001001100100000100  // sqaure root 580.69 = 24.0975102448365
0011111110100010000110100001100001010001111111110110001100001101  // sqaure root 0.00125 = 0.0353553390593274
0100000001010110010111001000100110011101001011100010111100110110  // sqaure root 8000.5689 = 89.44589929113576
0100000010001011110001000001101101011111001011000100011100001100  // sqaure root 789456 = 888.5133651217634
0011111111110001100100111110101001111010101011010000001100001100  // natural log 3 = 1.098612288668110
0100000000011000110110111100001000111001101100001011100001100010  // natural log 500 = 6.214608098422191 
0100000000100101111101100011100000101001011000011110100001001010  // natural log 58741.235 = 10.980897229386887
1011111111110101110011010001111001101010010101110001011011000110  // natural log 0.256 = -1.362577834502575
1011111111100000111010010101000000001111101011111110011110110000  // natural log 0.5895 = -0.528480559004711
0100000000101100000011101100111100100100100111111011101110110111  // natural log 1237896.5 = 14.028924126146974
0100000000010011010000111101010010111000101110111101100010000001  // natural log 123.5 =  4.816241156068032
0100000000100000111100101100101010100000110010100011111001011001  // natural log 4789.6 = 8.474202179611142
0100000000011000011101010010100001101011011110100111010100101100  // natural log 452.33 = 6.114412001942849
0100000000000011111000010001011010111100110100111001111001111100  // natural log 12 =  2.484906649788000
